,id,topic,newsOrTwit
213,5dbf70ea11bb5a181c168018,,N
214,5dbf70ea11bb5a181c168019,,N
215,5dbf70ea11bb5a181c16801a,,N
216,5dbf70ea11bb5a181c16801b,,N
217,5dbf70ea11bb5a181c16801c,,N
218,5dbf70ea11bb5a181c16801d,,N
219,5dbf70ea11bb5a181c16801e,,N
220,5dbf70ea11bb5a181c16801f,,N
221,5dbf70ea11bb5a181c168020,,N
222,5dbf70eb11bb5a181c168021,,N
223,5dbf70eb11bb5a181c168022,Stock,N
224,5dbf70eb11bb5a181c168023,,N
225,5dbf70eb11bb5a181c168024,,N
226,5dbf70eb11bb5a181c168025,,N
227,5dbf70eb11bb5a181c168026,,N
228,5dbf70eb11bb5a181c168027,,N
229,5dbf70eb11bb5a181c168028,Dimon,N
230,5dbf70eb11bb5a181c168029,,N
231,5dbf70eb11bb5a181c16802a,,N
232,5dbf70eb11bb5a181c16802b,,N
233,5dbf70eb11bb5a181c16802c,,N
234,5dbf70f911bb5a181c16802d,,N
235,5dbf70f911bb5a181c16802e,,N
236,5dbf70f911bb5a181c16802f,,N
237,5dbf70f911bb5a181c168030,,N
238,5dbf70f911bb5a181c168031,,N
239,5dbf70f911bb5a181c168032,,N
240,5dbf70f911bb5a181c168033,,N
241,5dbf70f911bb5a181c168034,,N
242,5dbf70f911bb5a181c168035,,N
243,5dbf70f911bb5a181c168036,,N
244,5dbf70f911bb5a181c168037,,N
245,5dbf70f911bb5a181c168038,,N
246,5dbf70f911bb5a181c168039,,N
247,5dbf70fa11bb5a181c16803a,,N
248,5dbf70fa11bb5a181c16803b,,N
249,5dbf70fa11bb5a181c16803c,,N
250,5dbf70fa11bb5a181c16803d,,N
251,5dbf70fa11bb5a181c16803e,,N
252,5dbf70fa11bb5a181c16803f,,N
253,5dbf70fa11bb5a181c168040,,N
254,5dbf70fa11bb5a181c168041,,N
255,5dbf70fa11bb5a181c168042,,N
256,5dbf70fa11bb5a181c168043,,N
257,5dbf70fa11bb5a181c168044,,N
258,5dbf70fa11bb5a181c168045,,N
259,5dbf70fa11bb5a181c168046,,N
260,5dbf70fa11bb5a181c168047,,N
261,5dbf70fa11bb5a181c168048,,N
262,5dbf70fa11bb5a181c168049,,N
263,5dbf70fa11bb5a181c16804a,,N
264,5dbf70fa11bb5a181c16804b,,N
265,5dbf714b11bb5a181c16804c,,N
266,5dbf714b11bb5a181c16804d,,N
267,5dbf714b11bb5a181c16804e,,N
268,5dbf714b11bb5a181c16804f,,N
269,5dbf714b11bb5a181c168050,,N
270,5dbf714b11bb5a181c168051,,N
271,5dbf714b11bb5a181c168052,,N
272,5dbf714b11bb5a181c168053,,N
273,5dbf714b11bb5a181c168054,,N
274,5dbf714c11bb5a181c168055,,N
275,5dbf714c11bb5a181c168056,,N
276,5dbf714c11bb5a181c168057,,N
277,5dbf714c11bb5a181c168058,,N
278,5dbf714c11bb5a181c168059,,N
279,5dbf714c11bb5a181c16805a,,N
280,5dbf714c11bb5a181c16805b,,N
281,5dbf714c11bb5a181c16805c,,N
282,5dbf714c11bb5a181c16805d,,N
283,5dbf714c11bb5a181c16805e,,N
284,5dbf714c11bb5a181c16805f,,N
285,5dbf714c11bb5a181c168060,,N
286,5dbf714c11bb5a181c168061,,N
